# #wave,bin_width,rp/rs,rp/rs_err
1.093809649518802996e+00,1.121964184984580726e-02,1.454130187649727013e-01,2.254195619636000078e-04
1.105039875976387975e+00,1.124081106532393015e-02,1.459862689308605022e-01,2.113447537815000014e-04
1.116291000088821317e+00,1.126143715954297519e-02,1.463918543112343873e-01,1.970171231168500086e-04
1.128032989418438437e+00,1.222254149969126402e-02,1.461773782374168051e-01,1.854378479827000024e-04
1.140266997786670178e+00,1.224547523677244065e-02,1.463685155784097969e-01,1.873000750863999873e-04
1.152523641708661728e+00,1.226781260721021560e-02,1.457663206689102098e-01,1.921305814243000007e-04
1.164802302728237260e+00,1.228950943194107026e-02,1.461160127751899018e-01,2.057879500140000033e-04
1.177102334539893880e+00,1.231055419137216944e-02,1.459105492035353002e-01,1.922476529907500044e-04
1.189423116174335382e+00,1.233100907751083497e-02,1.454957611681637897e-01,1.978060229737000058e-04
1.201764071217641838e+00,1.235090100910185562e-02,1.457703309781827883e-01,1.863972911792500207e-04
1.214124590494608080e+00,1.237013754483085037e-02,1.455336785235749053e-01,1.720296200017000206e-04
1.226504076577817015e+00,1.238883462158701931e-02,1.456355479236879913e-01,1.864681427534500022e-04
1.243201835826508894e+00,2.100668387579673890e-02,1.452389029401575105e-01,1.610970736584499917e-04
1.262315574581692079e+00,1.339645371888531500e-02,1.449313620975730132e-01,1.921200884960500032e-04
1.275721572562800610e+00,1.341554224333152412e-02,1.448398233242459976e-01,2.032807364365000168e-04
1.289146357215933181e+00,1.343402706293383986e-02,1.449057826796646964e-01,1.804592349465999911e-04
1.302589267889792346e+00,1.345179428478471273e-02,1.448850552321999108e-01,1.985617143004000094e-04
1.316049639962227014e+00,1.346894986008440043e-02,1.456574215532067118e-01,2.068457395744000016e-04
1.329526840272557742e+00,1.348545076057727776e-02,1.462046737633350135e-01,2.092552756174499934e-04
1.343020235263706841e+00,1.350133922172092049e-02,1.464719221522398918e-01,2.121340452968999916e-04
1.357012230166893652e+00,1.448265058465270094e-02,1.474275333506639973e-01,1.961136156292499818e-04
1.371503279737105396e+00,1.449944855577056657e-02,1.469946041740473885e-01,2.118185507154500059e-04
1.386010765866671157e+00,1.451552370336117725e-02,1.469090000056930967e-01,1.899582336511499955e-04
1.400533976823163052e+00,1.453089820962238932e-02,1.470671267768421941e-01,2.183205228464499834e-04
1.415072212764664883e+00,1.454557367338105145e-02,1.469930460122075011e-01,2.152167554501499807e-04
1.429624797415615323e+00,1.455959562852005007e-02,1.474010052570464968e-01,1.997859430895000069e-04
1.444191059793553888e+00,1.457292912735708157e-02,1.472400513159808910e-01,2.198020711274499930e-04
1.459256764294100783e+00,1.555847987373693009e-02,1.464911178732319907e-01,2.027239612311000096e-04
1.474822086550484856e+00,1.557216463903099424e-02,1.467876329051117923e-01,2.093057955582999991e-04
1.490400742289301750e+00,1.558514683860279249e-02,1.461525307431247034e-01,1.953266259781500183e-04
1.505992011609701420e+00,1.559739180219654742e-02,1.462324330919169968e-01,2.264233304390000120e-04
1.521595178568852624e+00,1.560894211610608373e-02,1.457218778037417950e-01,2.135315901262499895e-04
1.537209566322066623e+00,1.561983339032169127e-02,1.455118285941627010e-01,2.289595823238000077e-04
1.552834506068395015e+00,1.563004610233509339e-02,1.455566516441955949e-01,2.479711287460000142e-04
1.568958241451172242e+00,1.661742466321936007e-02,1.457406167885191006e-01,2.134023739877000082e-04
1.585580711510649721e+00,1.662751545573559753e-02,1.449569050581694107e-01,2.097590438954000189e-04
1.602212913426805940e+00,1.663688837657706365e-02,1.450763106889877974e-01,2.238237001481500161e-04
1.618854157130242388e+00,1.664559903029538823e-02,1.451345946796749886e-01,2.359152951415499871e-04
1.635503774105585784e+00,1.665363492039162452e-02,1.450470067943344099e-01,2.349596913851999844e-04
1.652161112025440914e+00,1.666104091931863707e-02,1.447076954504804003e-01,2.394848484566999846e-04
1.669315892065233786e+00,1.764851916026710654e-02,1.446736873453801087e-01,2.376829841125499879e-04
1.686967881448029338e+00,1.765545960532421965e-02,1.449549584078652920e-01,2.601270907857000008e-04
1.704626486676184438e+00,1.766175085098553588e-02,1.444750161643510999e-01,2.490824533362500206e-04
1.722291077938987280e+00,1.766743167462037079e-02,1.451100390326933998e-01,2.657860589584499990e-04
1.739961051754053578e+00,1.767251595551200261e-02,1.453604709737618961e-01,2.611289802940000115e-04
1.757635834128036034e+00,1.767704879245335370e-02,1.461453240541348009e-01,2.632849889899999975e-04
1.775806087137436595e+00,1.866345722634754623e-02,1.457317077510816017e-01,2.752921403770500512e-04
1.794471493499931958e+00,1.866735549864317889e-02,1.460219086292388058e-01,2.747131988338499895e-04
1.813140533274810062e+00,1.867072405111303013e-02,1.459097773283291044e-01,2.930346620335500104e-04
1.831812698728735533e+00,1.867360685673813414e-02,1.462694669799934899e-01,3.215153247461499750e-04
1.850487519925533064e+00,1.867603553685670548e-02,1.474030714801199959e-01,3.036041480916500156e-04
1.869656118314574123e+00,1.966116124122518904e-02,1.468834480895168937e-01,2.993575392459999992e-04
1.889318187349459333e+00,1.966297682854545315e-02,1.470180995957608983e-01,3.095316891783999919e-04
1.908981882042452227e+00,1.966441255744011407e-02,1.462454485313585961e-01,3.284994031069000194e-04
1.928646849446895128e+00,1.966552225144568844e-02,1.461623942235990015e-01,3.166277687930499894e-04
1.948312788949877250e+00,1.966635675451877674e-02,1.461369708669107981e-01,3.298860128309000174e-04
1.968471129632634931e+00,2.065032461099680638e-02,1.469710214206181864e-01,3.330604714909999827e-04
1.990105068777940911e+00,2.261755367961515439e-02,1.453729048012288028e-01,3.357900561063000347e-04
2.030423888420148870e+00,2.065136727551264428e-02,1.466328142396099987e-01,3.483665792414999984e-04
2.051075369941813609e+00,2.065159576781638862e-02,1.459184906543226912e-01,3.536176773560500194e-04
2.072218816473170300e+00,2.163529729489743758e-02,1.456738853302219916e-01,3.788691291999999764e-04
2.093854322872148455e+00,2.163571550305842806e-02,1.451906280373012892e-01,3.708276158431500274e-04
2.115490344757890551e+00,2.163632826842576407e-02,1.448176974873527922e-01,3.843831211125999523e-04
2.137127113379550192e+00,2.163720897489351813e-02,1.451130935911496000e-01,4.002312777087500091e-04
2.159256733177555176e+00,2.262203062111645124e-02,1.450788443789587101e-01,4.040588970428000124e-04
2.181879670538501070e+00,2.262384410077533659e-02,1.442743288934928980e-01,3.951328211952000267e-04
2.204504702618748535e+00,2.262622005971959283e-02,1.448017975866799922e-01,4.220722018089499835e-04
2.226640459739479549e+00,2.164529418174243602e-02,1.444149731731849962e-01,4.310679273128500272e-04
2.250747620462710152e+00,2.263320039313798659e-02,1.445851677783585032e-01,4.272342634712499943e-04
2.279289729384958108e+00,3.445101745135747962e-02,1.453014775344743104e-01,3.521422170725499890e-04
2.323102163866121561e+00,2.363620528243082219e-02,1.448385076796692983e-01,4.424063623205999607e-04
2.346742672167519306e+00,2.364481132036466704e-02,1.451853420850006959e-01,4.879364690343999814e-04
2.370885402869502112e+00,2.464065008360094566e-02,1.460658813849123050e-01,4.773600802441000171e-04
2.406879029488230071e+00,4.734660315385497142e-02,1.452126685272484008e-01,4.123782822544000025e-04
2.444868110244519777e+00,2.468363120765681984e-02,1.460148444964753101e-01,4.970687677716999816e-04
2.470055098215227396e+00,2.569034473375841898e-02,1.470250864160554949e-01,5.232600042170499960e-04
2.488832285358914209e+00,9.886996689444593756e-03,1.453592039847168005e-01,8.393043546475499606e-04
2.520986181628598111e+00,2.474684007139948960e-02,1.469930664085142002e-01,5.762812335395000153e-04
2.566068416472409908e+00,2.578652415872806358e-02,1.468242909720197109e-01,6.441690827385499439e-04
2.592368046657691494e+00,2.681273621183555278e-02,1.460658404978046887e-01,6.134764470799500529e-04
2.619200041566400738e+00,2.685125360558249241e-02,1.456026362633849880e-01,5.983589630617000554e-04
2.646072380999495266e+00,2.689342526060611860e-02,1.474259695529089864e-01,6.319006269137000071e-04
2.681982370230597379e+00,4.492655320159855137e-02,1.479177658864959943e-01,5.414999689903499547e-04
2.720461260540417037e+00,2.803124035606252562e-02,1.476213874653189984e-01,6.690391048297499857e-04
2.748523411600297894e+00,2.809306176369918973e-02,1.466428470988636878e-01,7.696232942718500385e-04
2.781183071066978485e+00,3.722625716966154741e-02,1.475516168839219044e-01,6.752814195932500254e-04
2.804836795322513510e+00,6.049624046999380056e-03,1.476442644974247098e-01,1.645361664588349980e-03
